,longrun_skews,longrun_means,longrun_stds,constant,sizes,horizons,equal,value,minvar,riskpar,rand
0,1.9062533171536726,19.678243769716623,46.49439905235425,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0
1,2.1766296816463258,92.000855886735,133.5617353124429,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0
2,2.9231176077319163,205.59302022471712,302.83429473271286,1.0,2,7.0,1.0,0.0,0.0,0.0,0.0
3,3.3976653443598064,369.77229661884695,580.1331115618801,1.0,2,10.0,1.0,0.0,0.0,0.0,0.0
4,3.276001730483017,578.8140625636701,860.8437873938454,1.0,2,13.0,1.0,0.0,0.0,0.0,0.0
5,4.4212679939786845,948.5515587138825,1603.7059998151947,1.0,2,16.0,1.0,0.0,0.0,0.0,0.0
6,5.443739560433064,1631.4661656132873,3065.8129751943115,1.0,2,19.0,1.0,0.0,0.0,0.0,0.0
7,4.668592700440712,2982.829426351955,5224.2729266183,1.0,2,22.0,1.0,0.0,0.0,0.0,0.0
8,5.089758692625062,4231.446058979746,7959.993713775564,1.0,2,25.0,1.0,0.0,0.0,0.0,0.0
9,1.1486417995348175,18.554699004895824,33.47770039653182,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0
10,1.5315107136456239,99.67983845887197,102.26704604341523,1.0,5,4.0,1.0,0.0,0.0,0.0,0.0
11,1.9498423534015585,214.25828992994875,214.5204503147232,1.0,5,7.0,1.0,0.0,0.0,0.0,0.0
12,2.2348606615063855,382.3620868114167,385.83230758704076,1.0,5,10.0,1.0,0.0,0.0,0.0,0.0
13,2.5726417627386367,577.4897161686165,575.4654124177581,1.0,5,13.0,1.0,0.0,0.0,0.0,0.0
14,2.5796132982075735,978.4482538889486,938.4616044207611,1.0,5,16.0,1.0,0.0,0.0,0.0,0.0
15,2.8182795746541185,1632.062909012252,1592.4034055321797,1.0,5,19.0,1.0,0.0,0.0,0.0,0.0
16,2.7306059959942868,3221.331223528569,3186.077221889544,1.0,5,22.0,1.0,0.0,0.0,0.0,0.0
17,2.952283236724553,4544.399015509453,4684.930095837344,1.0,5,25.0,1.0,0.0,0.0,0.0,0.0
18,1.4739480305976185,19.133223092393923,33.46724943669789,1.0,8,1.0,1.0,0.0,0.0,0.0,0.0
19,1.5145406969781428,93.97115142615853,88.39216530647323,1.0,8,4.0,1.0,0.0,0.0,0.0,0.0
20,1.6665495849138205,208.62202533194895,181.01515996519774,1.0,8,7.0,1.0,0.0,0.0,0.0,0.0
21,2.149623950895776,377.6958022680823,339.2520023385174,1.0,8,10.0,1.0,0.0,0.0,0.0,0.0
22,2.0811441420000643,581.8003486573182,479.08478089960107,1.0,8,13.0,1.0,0.0,0.0,0.0,0.0
23,2.6679089046171467,987.0455457487675,797.6524869427589,1.0,8,16.0,1.0,0.0,0.0,0.0,0.0
24,2.36702842762117,1746.8829869728481,1390.2168042898265,1.0,8,19.0,1.0,0.0,0.0,0.0,0.0
25,2.508426664507619,3188.7837057055185,2525.448579959698,1.0,8,22.0,1.0,0.0,0.0,0.0,0.0
26,2.618675670322394,4791.057686368167,4174.141403749974,1.0,8,25.0,1.0,0.0,0.0,0.0,0.0
27,1.3485298082503836,19.570922682640703,32.815332238413816,1.0,11,1.0,1.0,0.0,0.0,0.0,0.0
28,1.170157778710112,99.967189604699,83.54979779369768,1.0,11,4.0,1.0,0.0,0.0,0.0,0.0
29,1.6495076153081265,208.5151364574661,170.7757606088744,1.0,11,7.0,1.0,0.0,0.0,0.0,0.0
30,1.7584779041642196,374.6293836090402,298.8392469562244,1.0,11,10.0,1.0,0.0,0.0,0.0,0.0
31,1.7566550984675078,594.3286689568911,437.1114634348598,1.0,11,13.0,1.0,0.0,0.0,0.0,0.0
32,1.8016497896258143,985.9334098958611,672.9008085311541,1.0,11,16.0,1.0,0.0,0.0,0.0,0.0
33,1.89330239513068,1659.8406979945032,1084.9064702972155,1.0,11,19.0,1.0,0.0,0.0,0.0,0.0
34,1.8408380165822678,3228.0498537367425,2061.53675603231,1.0,11,22.0,1.0,0.0,0.0,0.0,0.0
35,2.2158022479726527,4666.362182273419,3301.7339854796624,1.0,11,25.0,1.0,0.0,0.0,0.0,0.0
36,1.46728505229006,20.3371753246065,32.83193529869221,1.0,14,1.0,1.0,0.0,0.0,0.0,0.0
37,1.2039443248541788,95.48472918327758,79.25493140265664,1.0,14,4.0,1.0,0.0,0.0,0.0,0.0
38,1.5037512764257694,212.64988057894507,161.26456112973597,1.0,14,7.0,1.0,0.0,0.0,0.0,0.0
39,1.7185514172515288,368.1105144663471,271.01333866547424,1.0,14,10.0,1.0,0.0,0.0,0.0,0.0
40,2.0254406653974506,602.2312204080423,432.6784064606414,1.0,14,13.0,1.0,0.0,0.0,0.0,0.0
41,1.9144682512797955,1002.2046253145451,645.9988744083373,1.0,14,16.0,1.0,0.0,0.0,0.0,0.0
42,1.6742248257056762,1664.6993021359053,984.3593359267007,1.0,14,19.0,1.0,0.0,0.0,0.0,0.0
43,1.881937911470841,3180.023562523504,1832.9580951095331,1.0,14,22.0,1.0,0.0,0.0,0.0,0.0
44,2.07038239203181,4646.807250520017,2877.3046902521887,1.0,14,25.0,1.0,0.0,0.0,0.0,0.0
45,1.2975051430800544,18.606588436779504,30.052025300873446,1.0,17,1.0,1.0,0.0,0.0,0.0,0.0
46,1.1576721269581058,96.12807123281891,73.34892038202356,1.0,17,4.0,1.0,0.0,0.0,0.0,0.0
47,1.3614300840449103,212.20506784598547,152.88902848358475,1.0,17,7.0,1.0,0.0,0.0,0.0,0.0
48,1.7277126131630791,379.38529248692464,282.1521008985642,1.0,17,10.0,1.0,0.0,0.0,0.0,0.0
49,1.5492521904739671,590.006966753925,385.1555855812702,1.0,17,13.0,1.0,0.0,0.0,0.0,0.0
50,1.3516454323502503,964.8782024650482,556.341703788839,1.0,17,16.0,1.0,0.0,0.0,0.0,0.0
51,1.1375124296437207,1646.9266108432848,828.2458685036564,1.0,17,19.0,1.0,0.0,0.0,0.0,0.0
52,1.35638302739007,3237.6417277251635,1607.3181609738049,1.0,17,22.0,1.0,0.0,0.0,0.0,0.0
53,1.7421200466926194,4679.952949468738,2536.016250976315,1.0,17,25.0,1.0,0.0,0.0,0.0,0.0
54,1.743329458633515,18.95493461322779,31.832919855893277,1.0,20,1.0,1.0,0.0,0.0,0.0,0.0
55,1.0841097173569803,98.10504633707184,75.23061728004735,1.0,20,4.0,1.0,0.0,0.0,0.0,0.0
56,1.2552049213901952,211.85244746361133,152.34867451548516,1.0,20,7.0,1.0,0.0,0.0,0.0,0.0
57,1.8609438454290292,370.009095892549,269.1039794523091,1.0,20,10.0,1.0,0.0,0.0,0.0,0.0
58,1.5648899955137097,588.9820048633086,374.13871572888974,1.0,20,13.0,1.0,0.0,0.0,0.0,0.0
59,1.3878924672834512,979.9038505834706,535.581392753268,1.0,20,16.0,1.0,0.0,0.0,0.0,0.0
60,1.253456925503005,1680.6391103601986,828.3025061172551,1.0,20,19.0,1.0,0.0,0.0,0.0,0.0
61,1.5950403965043427,3223.8585379395063,1491.3812492151537,1.0,20,22.0,1.0,0.0,0.0,0.0,0.0
62,1.5457460308097317,4659.17392014775,2281.9741863692525,1.0,20,25.0,1.0,0.0,0.0,0.0,0.0
63,1.1794731654608048,18.73463264931832,29.444843834671687,1.0,23,1.0,1.0,0.0,0.0,0.0,0.0
64,1.0841831014530063,98.61078950597893,74.44981627786962,1.0,23,4.0,1.0,0.0,0.0,0.0,0.0
65,1.421030078168705,205.00606673036498,144.45411603244727,1.0,23,7.0,1.0,0.0,0.0,0.0,0.0
66,1.5828078854572603,377.8051348639677,261.6043161774524,1.0,23,10.0,1.0,0.0,0.0,0.0,0.0
67,1.2837479533570322,608.9429489393249,360.44458838857486,1.0,23,13.0,1.0,0.0,0.0,0.0,0.0
68,1.2663815454712153,1006.1308856220567,525.6719146535759,1.0,23,16.0,1.0,0.0,0.0,0.0,0.0
69,1.1761577474622085,1670.1723122968274,779.8274589349933,1.0,23,19.0,1.0,0.0,0.0,0.0,0.0
70,1.574732701866484,3256.227810207981,1429.2829454632104,1.0,23,22.0,1.0,0.0,0.0,0.0,0.0
