,longrun_skews,longrun_means,longrun_stds,constant,sizes,horizons,equal,value,minvar,riskpar,rand
0,2.5054877964807267,21.5167176250927,59.10936448382118,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0
1,4.062145278049208,111.72772492337486,199.71535905728305,1.0,2,4.0,1.0,0.0,0.0,0.0,0.0
2,3.9951483229629114,237.53341721769317,399.13424427564104,1.0,2,7.0,1.0,0.0,0.0,0.0,0.0
3,4.11214318841483,484.6603338829103,893.2564893893908,1.0,2,10.0,1.0,0.0,0.0,0.0,0.0
4,4.63277215699689,874.5818992379021,1728.2574439678783,1.0,2,13.0,1.0,0.0,0.0,0.0,0.0
5,5.761959078879919,1462.4428029625958,3167.27222374689,1.0,2,16.0,1.0,0.0,0.0,0.0,0.0
6,6.0493906035088205,2599.410911116727,6350.376815459144,1.0,2,19.0,1.0,0.0,0.0,0.0,0.0
7,6.1346974626399104,4182.776307086485,10760.689400338166,1.0,2,22.0,1.0,0.0,0.0,0.0,0.0
8,7.119126515752315,6820.165842356708,20158.169395907982,1.0,2,25.0,1.0,0.0,0.0,0.0,0.0
9,2.122663776208602,22.488565540138367,44.77473331951874,1.0,5,1.0,1.0,0.0,0.0,0.0,0.0
10,2.2282628337129102,106.41008599423218,126.56526435500739,1.0,5,4.0,1.0,0.0,0.0,0.0,0.0
11,2.536172107992786,258.3831586232398,281.8349277042802,1.0,5,7.0,1.0,0.0,0.0,0.0,0.0
12,3.1063902506835057,495.60853544036144,568.2727495222945,1.0,5,10.0,1.0,0.0,0.0,0.0,0.0
13,3.425304845354319,978.2019128445991,1208.246640920423,1.0,5,13.0,1.0,0.0,0.0,0.0,0.0
14,3.698816428255701,1633.7651944465986,2176.1711143808784,1.0,5,16.0,1.0,0.0,0.0,0.0,0.0
15,3.4536904716676724,2685.310053221608,3638.6038154069934,1.0,5,19.0,1.0,0.0,0.0,0.0,0.0
16,4.1315441699157915,4778.960035748826,7556.538375425809,1.0,5,22.0,1.0,0.0,0.0,0.0,0.0
17,4.711296542205684,8347.955662437796,14303.822228524828,1.0,5,25.0,1.0,0.0,0.0,0.0,0.0
18,1.4863421884872365,21.16691428789839,36.51253650226566,1.0,8,1.0,1.0,0.0,0.0,0.0,0.0
19,2.1809529224439976,111.90117389451245,113.58466138101922,1.0,8,4.0,1.0,0.0,0.0,0.0,0.0
20,2.6028910566750088,248.05784424401966,227.75677768851912,1.0,8,7.0,1.0,0.0,0.0,0.0,0.0
21,2.713766732625136,481.6058720461637,435.77930166164924,1.0,8,10.0,1.0,0.0,0.0,0.0,0.0
22,3.075630421876802,948.1436759006768,925.2057828220761,1.0,8,13.0,1.0,0.0,0.0,0.0,0.0
23,3.215583831122426,1633.6095179040524,1726.8260129594642,1.0,8,16.0,1.0,0.0,0.0,0.0,0.0
24,3.7575442188402115,2929.058628324391,3596.778322917327,1.0,8,19.0,1.0,0.0,0.0,0.0,0.0
25,6.120592754042474,5499.6457985703,8031.436378152248,1.0,8,22.0,1.0,0.0,0.0,0.0,0.0
26,4.189209606566335,8581.389241916439,11337.175918653245,1.0,8,25.0,1.0,0.0,0.0,0.0,0.0
27,1.7134300584634419,22.250958089637816,35.60450068291397,1.0,11,1.0,1.0,0.0,0.0,0.0,0.0
28,1.6356770046845353,112.21601198271489,101.79440304355983,1.0,11,4.0,1.0,0.0,0.0,0.0,0.0
29,2.453438961532176,250.31832238131994,205.3797239315933,1.0,11,7.0,1.0,0.0,0.0,0.0,0.0
30,1.9424419771245283,501.40715596460166,381.87187960421306,1.0,11,10.0,1.0,0.0,0.0,0.0,0.0
31,2.4673330281861436,1002.4097805248559,841.6409148128223,1.0,11,13.0,1.0,0.0,0.0,0.0,0.0
32,2.9276172994299743,1676.5005831652638,1475.4150915413666,1.0,11,16.0,1.0,0.0,0.0,0.0,0.0
33,2.94359402867825,2833.340006670795,2783.5809748132124,1.0,11,19.0,1.0,0.0,0.0,0.0,0.0
34,3.378947551744854,5406.205806388667,5983.068505759959,1.0,11,22.0,1.0,0.0,0.0,0.0,0.0
35,3.943815416951002,9413.898326941573,11630.34718691265,1.0,11,25.0,1.0,0.0,0.0,0.0,0.0
36,1.7703205379545883,21.68647647643965,35.22663975580233,1.0,14,1.0,1.0,0.0,0.0,0.0,0.0
37,2.0950258299778044,114.02327021024577,101.08832500525203,1.0,14,4.0,1.0,0.0,0.0,0.0,0.0
38,1.8250756448798393,252.4385165778603,178.747380589973,1.0,14,7.0,1.0,0.0,0.0,0.0,0.0
39,2.0011714187872,501.43414091813,346.87690787925254,1.0,14,10.0,1.0,0.0,0.0,0.0,0.0
40,2.5718822244063593,977.6642211757262,752.5743180023734,1.0,14,13.0,1.0,0.0,0.0,0.0,0.0
41,2.4638484016555826,1684.4733343812607,1350.0176270320649,1.0,14,16.0,1.0,0.0,0.0,0.0,0.0
42,3.455657797773972,2915.5576676731753,2776.0820060050933,1.0,14,19.0,1.0,0.0,0.0,0.0,0.0
43,2.884224317570021,5478.562379549756,5237.962559602911,1.0,14,22.0,1.0,0.0,0.0,0.0,0.0
44,2.839791878288774,9277.556766814074,9225.657778275205,1.0,14,25.0,1.0,0.0,0.0,0.0,0.0
45,1.4738929294356302,22.279999051222916,32.83257694784575,1.0,17,1.0,1.0,0.0,0.0,0.0,0.0
46,1.7162277514736477,114.7707858272801,93.20157058137899,1.0,17,4.0,1.0,0.0,0.0,0.0,0.0
47,1.5872321981586106,249.20608490503164,162.89193035513625,1.0,17,7.0,1.0,0.0,0.0,0.0,0.0
48,1.9923310023134089,514.1573492445593,333.18354347896275,1.0,17,10.0,1.0,0.0,0.0,0.0,0.0
49,2.2012888905385264,972.0611584573794,659.996845016795,1.0,17,13.0,1.0,0.0,0.0,0.0,0.0
50,2.0051303308123583,1663.4992816164824,1145.5703347721067,1.0,17,16.0,1.0,0.0,0.0,0.0,0.0
51,2.422132249072934,2844.7364489601623,2283.7936835468995,1.0,17,19.0,1.0,0.0,0.0,0.0,0.0
52,3.48308023805204,5345.764274687152,5167.845191768919,1.0,17,22.0,1.0,0.0,0.0,0.0,0.0
53,2.435313242547718,9151.428669851211,7871.662822382286,1.0,17,25.0,1.0,0.0,0.0,0.0,0.0
54,1.3220191324142765,20.6454950821072,31.190124935830106,1.0,20,1.0,1.0,0.0,0.0,0.0,0.0
55,1.6399152006144804,109.69707177380897,87.06969413225053,1.0,20,4.0,1.0,0.0,0.0,0.0,0.0
56,1.57177405858342,247.50478524716257,152.15320257223715,1.0,20,7.0,1.0,0.0,0.0,0.0,0.0
57,2.057952565651479,498.7532763446692,306.7867793148818,1.0,20,10.0,1.0,0.0,0.0,0.0,0.0
58,1.9678335499563742,987.4757766829955,628.3945905132946,1.0,20,13.0,1.0,0.0,0.0,0.0,0.0
59,2.474570526889153,1724.0538198111872,1182.4175846086941,1.0,20,16.0,1.0,0.0,0.0,0.0,0.0
60,2.589783483383116,2939.6180370150532,2287.2369893291348,1.0,20,19.0,1.0,0.0,0.0,0.0,0.0
61,3.1051728670705447,5562.706121163248,4833.43176809021,1.0,20,22.0,1.0,0.0,0.0,0.0,0.0
