Variable,Coefficient,Std Error,t-value,p-value
constant,0.37142,0.01225,30.31342,0.0
sizes_centered,0.03227,0.00241,13.36909,0.0
sizes2_centered,-0.00043,7e-05,-6.21035,0.0
horizons_centered,-0.00475,0.00071,-6.70811,0.0
value,0.16917,0.01733,9.76308,0.0
minvar,0.11164,0.01733,6.44263,0.0
riskpar,0.08953,0.01733,5.16682,0.0
rand,-0.05839,0.01733,-3.36968,0.00081
