Variable,Coefficient,Std Error,t-value,p-value
constant,1.82133,0.04056,44.90678,0.0
1/sizes_centered,5.56949,0.13807,40.33863,0.0
horizons_centered,0.06114,0.00234,26.11141,0.0
value,-0.22439,0.05736,-3.91215,0.0001
minvar,-0.3923,0.05736,-6.83953,0.0
riskpar,-0.26137,0.05736,-4.55678,1e-05
rand,0.18833,0.05736,3.28344,0.0011
