Variable,Coefficient,Std Error,t-value,p-value
constant,0.47586,0.01508,31.56021,0.0
sizes_centered,0.03255,0.00297,10.95657,0.0
sizes2_centered,-0.00049,8e-05,-5.72405,0.0
horizons_centered,-0.00156,0.00087,-1.79678,0.07299
value,-0.155,0.02132,-7.26879,0.0
minvar,0.03117,0.02132,1.46157,0.1445
riskpar,0.0416,0.02132,1.95098,0.05163
rand,-0.06882,0.02132,-3.2274,0.00133
