Variable,Coefficient,Std Error,t-value,p-value
constant,2.57117,0.05043,50.98601,0.0
1/sizes_centered,6.49714,0.17167,37.84632,0.0
horizons_centered,0.0809,0.00291,27.78495,0.0
value,-0.88986,0.07132,-12.47749,0.0
minvar,-0.45502,0.07132,-6.38028,0.0
riskpar,-0.3536,0.07132,-4.95812,0.0
rand,0.29306,0.07132,4.10917,5e-05
