Variable,Coefficient,Std Error,t-value,p-value
constant,0.48865,0.01464,33.38141,0.0
sizes_centered,0.03535,0.00288,12.25667,0.0
sizes2_centered,-0.00042,8e-05,-5.05275,0.0
horizons_centered,0.00862,0.00085,10.20215,0.0
value,-0.049,0.0207,-2.36705,0.01832
minvar,0.11114,0.0207,5.36879,0.0
riskpar,0.10748,0.0207,5.19164,0.0
rand,-0.07381,0.0207,-3.56556,0.0004
