Variable,Coefficient,Std Error,t-value,p-value
constant,1.77292,0.04187,42.34118,0.0
1/sizes_centered,5.00516,0.14254,35.11354,0.0
horizons_centered,0.0332,0.00242,13.73272,0.0
value,-0.03588,0.05922,-0.60591,0.54485
minvar,-0.18261,0.05922,-3.08385,0.00216
riskpar,-0.1388,0.05922,-2.34398,0.01948
rand,0.19026,0.05922,3.21298,0.0014
