Variable,Coefficient,Std Error,t-value,p-value
constant,2.01914,0.0466,43.32582,0.0
1/sizes_centered,4.89001,0.15865,30.82279,0.0
horizons_centered,0.04136,0.00269,15.37056,0.0
value,-0.12491,0.06591,-1.89522,0.05865
minvar,-0.27888,0.06591,-4.23137,3e-05
riskpar,-0.20542,0.06591,-3.11677,0.00194
rand,0.22753,0.06591,3.45222,0.0006
