Variable,Coefficient,Std Error,t-value,p-value
constant,1.83223,0.03996,45.85324,0.0
1/sizes_centered,4.65841,0.13603,34.24594,0.0
horizons_centered,0.04408,0.00231,19.10744,0.0
value,-0.46075,0.05651,-8.15334,0.0
minvar,-0.31348,0.05651,-5.54741,0.0
riskpar,-0.26698,0.05651,-4.7245,0.0
rand,0.22905,0.05651,4.0532,6e-05
