Variable,Coefficient,Std Error,t-value,p-value
constant,1.59369,0.03529,45.15639,0.0
sizes_centered,0.10722,0.00695,15.42028,0.0
sizes2_centered,-0.00137,0.0002,-6.89139,0.0
horizons_centered,0.03213,0.00204,15.77058,0.0
value,-0.38946,0.04991,-7.80305,0.0
minvar,0.26605,0.04991,5.33043,0.0
riskpar,0.26977,0.04991,5.40503,0.0
rand,-0.25236,0.04991,-5.05617,0.0
