Variable,Coefficient,Std Error,t-value,p-value
constant,1.21117,0.03153,38.41383,0.0
1/sizes_centered,3.44251,0.10733,32.07304,0.0
horizons_centered,0.05493,0.00182,30.17348,0.0
value,0.39327,0.04459,8.81982,0.0
minvar,-0.13611,0.04459,-3.0524,0.00239
riskpar,-0.1377,0.04459,-3.0882,0.00213
rand,0.103,0.04459,2.31002,0.0213
