Variable,Coefficient,Std Error,t-value,p-value
constant,0.56488,0.01434,39.39078,0.0
sizes_centered,0.03604,0.00283,12.7545,0.0
sizes2_centered,-0.00042,8e-05,-5.23358,0.0
horizons_centered,0.01552,0.00083,18.7436,0.0
value,-0.12209,0.02028,-6.02002,0.0
minvar,0.05855,0.02028,2.88682,0.00406
riskpar,0.07853,0.02028,3.87219,0.00012
rand,-0.0896,0.02028,-4.41823,1e-05
