Variable,Coefficient,Std Error,t-value,p-value
constant,2.10007,0.05603,37.47855,0.0
1/sizes_centered,5.42975,0.19075,28.46498,0.0
horizons_centered,0.0681,0.00324,21.04999,0.0
value,-0.14397,0.07924,-1.81684,0.06985
minvar,-0.15664,0.07924,-1.97673,0.04863
riskpar,-0.1883,0.07924,-2.37623,0.01788
rand,0.20096,0.07924,2.53598,0.01152
