Variable,Coefficient,Std Error,t-value,p-value
constant,0.48468,0.01184,40.93192,0.0
sizes_centered,0.03103,0.00233,13.30021,0.0
sizes2_centered,-0.00042,7e-05,-6.25886,0.0
horizons_centered,0.00784,0.00068,11.4719,0.0
value,-0.09517,0.01675,-5.68342,0.0
minvar,0.02213,0.01675,1.32146,0.18697
riskpar,0.04222,0.01675,2.52138,0.01201
rand,-0.07554,0.01675,-4.51104,1e-05
