Variable,Coefficient,Std Error,t-value,p-value
constant,1.22936,0.03473,35.40037,0.0
1/sizes_centered,3.15112,0.11822,26.65473,0.0
horizons_centered,0.02155,0.002,10.75061,0.0
value,-0.04759,0.04911,-0.96891,0.33307
minvar,-0.1757,0.04911,-3.57749,0.00038
riskpar,-0.16375,0.04911,-3.33428,0.00092
rand,0.14276,0.04911,2.90689,0.00382
