Variable,Coefficient,Std Error,t-value,p-value
constant,1.92347,0.03955,48.63496,0.0
1/sizes_centered,5.07549,0.13463,37.69849,0.0
horizons_centered,0.05433,0.00228,23.79377,0.0
value,-0.17429,0.05593,-3.11618,0.00194
minvar,-0.37302,0.05593,-6.66929,0.0
riskpar,-0.31987,0.05593,-5.71903,0.0
rand,0.20744,0.05593,3.70889,0.00023
