Variable,Coefficient,Std Error,t-value,p-value
constant,1.43724,0.03415,42.08531,0.0
1/sizes_centered,4.5307,0.11626,38.97159,0.0
horizons_centered,0.04105,0.00197,20.8186,0.0
value,-0.31504,0.0483,-6.52302,0.0
minvar,-0.17014,0.0483,-3.52282,0.00047
riskpar,-0.1828,0.0483,-3.78501,0.00017
rand,0.19127,0.0483,3.96036,9e-05
