Variable,Coefficient,Std Error,t-value,p-value
constant,1.76724,0.04085,43.26117,0.0
1/sizes_centered,5.21757,0.13906,37.51906,0.0
horizons_centered,0.05188,0.00236,21.99768,0.0
value,-0.17373,0.05777,-3.00717,0.00277
minvar,-0.15434,0.05777,-2.67152,0.0078
riskpar,-0.12129,0.05777,-2.09947,0.03629
rand,0.2077,0.05777,3.59514,0.00036
