Variable,Coefficient,Std Error,t-value,p-value
constant,0.8295,0.02041,40.64242,0.0
sizes_centered,0.05027,0.00402,12.50112,0.0
sizes2_centered,-0.00066,0.00011,-5.73089,0.0
horizons_centered,0.03095,0.00118,26.26317,0.0
value,-0.04911,0.02886,-1.70154,0.08948
minvar,0.01056,0.02886,0.36585,0.71463
riskpar,0.05471,0.02886,1.89554,0.05861
rand,-0.1175,0.02886,-4.07086,5e-05
