Variable,Coefficient,Std Error,t-value,p-value
constant,0.43148,0.01097,39.34496,0.0
sizes_centered,0.02813,0.00216,13.02137,0.0
sizes2_centered,-0.00038,6e-05,-6.10841,0.0
horizons_centered,0.01234,0.00063,19.49435,0.0
value,-0.02742,0.01551,-1.76783,0.07771
minvar,0.02643,0.01551,1.70446,0.08893
riskpar,0.04659,0.01551,3.00376,0.0028
rand,-0.05423,0.01551,-3.49681,0.00051
