Variable,Coefficient,Std Error,t-value,p-value
constant,0.75977,0.01714,44.33743,0.0
sizes_centered,0.04694,0.00338,13.90338,0.0
sizes2_centered,-0.00072,0.0001,-7.47845,0.0
horizons_centered,0.01339,0.00099,13.53608,0.0
value,-0.38042,0.02423,-15.69788,0.0
minvar,0.04312,0.02423,1.7792,0.07583
riskpar,0.07391,0.02423,3.04981,0.00241
rand,-0.08601,0.02423,-3.54894,0.00042
